_Y5_1,_Y5_2,_Y5_3,_Y5_4,_Y5_5,_age5grp,_male,_U5UK,_EUUKcopula
1,1,4,3,1,18-34,1,.754,.6330030341461547
1,1,4,3,2,18-34,1,.6760000000000001,.6047308801539578
1,1,4,3,3,18-34,1,.65,.5283358531710738
1,1,4,3,4,18-34,1,.469,.3523911350068103
1,1,4,3,5,18-34,1,.465,.1988440806598509
1,1,4,4,1,18-34,1,.5619999999999999,.3411242962560881
1,1,4,4,2,18-34,1,.4839999999999999,.3267378690037542
1,1,4,4,3,18-34,1,.458,.2544546294983968
1,1,4,4,4,18-34,1,.277,.139248362073497
1,1,4,4,5,18-34,1,.273,.0357096003034333
1,1,4,5,1,18-34,1,.5029999999999999,.2240581998130759
1,1,4,5,2,18-34,1,.4249999999999999,.1985163569807476
1,1,4,5,3,18-34,1,.3989999999999999,.1137510651407935
1,1,4,5,4,18-34,1,.2179999999999999,.0219895397581602
1,1,4,5,5,18-34,1,.2139999999999999,-.0581905898194666
1,1,5,1,1,18-34,1,.8160000000000001,.9516085023568653
1,1,5,1,2,18-34,1,.7380000000000001,.8646432409114032
1,1,5,1,3,18-34,1,.7120000000000001,.7703656217571588
1,1,5,1,4,18-34,1,.5310000000000001,.5037191552933001
1,1,5,1,5,18-34,1,.5270000000000001,.2848394732238873
1,1,5,2,1,18-34,1,.7530000000000001,.8263460076183434
1,1,5,2,2,18-34,1,.6750000000000002,.7651999822388665
1,1,5,2,3,18-34,1,.6490000000000001,.7007581086455438
1,1,5,2,4,18-34,1,.4680000000000001,.4696336022791114
1,1,5,2,5,18-34,1,.4640000000000001,.2771722548345342
1,1,5,3,1,18-34,1,.7320000000000001,.6359796569533445
1,1,5,3,2,18-34,1,.6540000000000001,.6111930092060792
1,1,5,3,3,18-34,1,.6280000000000001,.4991848713221546
1,1,5,3,4,18-34,1,.4470000000000001,.3114184424904048
1,1,5,3,5,18-34,1,.4430000000000001,.1710878667001196
1,1,5,4,1,18-34,1,.54,.2770739179728843
1,1,5,4,2,18-34,1,.462,.2647041861871826
1,1,5,4,3,18-34,1,.4360000000000001,.186518514561182
1,1,5,4,4,18-34,1,.2550000000000001,.0905586914448619
1,1,5,4,5,18-34,1,.2510000000000001,.0034060940067564
1,1,5,5,1,18-34,1,.481,.1515500118605413
1,1,5,5,2,18-34,1,.403,.1589229734186903
1,1,5,5,3,18-34,1,.3770000000000001,.0575241080357268
1,1,5,5,4,18-34,1,.1960000000000001,-.0258928589029159
1,1,5,5,5,18-34,1,.1920000000000001,-.1018414403275746
1,2,1,1,1,18-34,1,.95,.9337220363403368
1,2,1,1,2,18-34,1,.872,.8493154493059508
1,2,1,1,3,18-34,1,.846,.7791734573726571
1,2,1,1,4,18-34,1,.665,.5495888480525691
1,2,1,1,5,18-34,1,.661,.367126417270137
1,2,1,2,1,18-34,1,.887,.7990900421763032
1,2,1,2,2,18-34,1,.8090000000000001,.7398088683447817
1,2,1,2,3,18-34,1,.783,.6803219702526659
1,2,1,2,4,18-34,1,.6020000000000001,.4577267247443668
1,2,1,2,5,18-34,1,.5980000000000001,.2741817279552558
1,2,1,3,1,18-34,1,.866,.6963897137114326
1,2,1,3,2,18-34,1,.788,.6535923478942126
1,2,1,3,3,18-34,1,.762,.6029316168002726
1,2,1,3,4,18-34,1,.581,.3948333795063977
1,2,1,3,5,18-34,1,.577,.2137967654916132
1,2,1,4,1,18-34,1,.6739999999999999,.6362346791564196
1,2,1,4,2,18-34,1,.596,.5851898576308484
1,2,1,4,3,18-34,1,.57,.505321880885045
1,2,1,4,4,18-34,1,.389,.3053077078986322
1,2,1,4,5,18-34,1,.385,.1366005476389397
1,2,1,5,1,18-34,1,.615,.7050662554037497
1,2,1,5,2,18-34,1,.537,.6481473303019103
1,2,1,5,3,18-34,1,.511,.56721710097252
1,2,1,5,4,18-34,1,.33,.3401626526472521
1,2,1,5,5,18-34,1,.326,.1478171824276041
1,2,2,1,1,18-34,1,.8999999999999999,.8161887548432392
1,2,2,1,2,18-34,1,.822,.7625663598739367
1,2,2,1,3,18-34,1,.7959999999999999,.7091532531510031
1,2,2,1,4,18-34,1,.615,.4945299159913117
1,2,2,1,5,18-34,1,.611,.3109874762218332
1,2,2,2,1,18-34,1,.837,.7199090398134697
1,2,2,2,2,18-34,1,.759,.6777100490564857
1,2,2,2,3,18-34,1,.733,.6313884267706149
1,2,2,2,4,18-34,1,.5520000000000001,.4202402921941253
1,2,2,2,5,18-34,1,.548,.2378897400211092
